success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo retries
1 21 20 13 13 386862 91.004 1.1007 425819 425000 403090 0 1 1
1 21 20 13.7 14 417468 91.19 1.1007 459507 459000 440731 1 1 1
1 21 20 14.3 15 448194 91.374 1.1007 493327 493000 467160 0 1 1
1 21 20 15.3 16 479042 91.56 1.1007 527281 527000 505866 1 1 1
1 21 20 17 17 510011 91.745 1.1007 561369 561000 531595 0 1 1
1 21 20 17.4 18 541100 91.93 1.1007 595588 595000 571283 1 1 1
1 21 20 18.5 19 572311 92.115 1.1007 629942 629000 596390 0 1 1
1 21 20 19.8 20 603643 92.3 1.1007 664429 664000 629190 0 1 1
1 21 20 20.1 21 635096 92.485 1.1007 699050 699000 662082 0 1 1
1 21 20 22 22 666669 92.67 1.1007 733802 733000 694795 0 1 1
1 21 20 23 23 698364 92.855 1.1007 768689 768000 737348 1 1 1
1 21 20 23.9 24 730180 93.04 1.1007 803709 803000 761032 0 1 1
1 21 20 25 25 762117 93.225 1.1007 838862 838000 810020 2 1 1
1 21 20 25.6 26 794174 93.41 1.1007 874147 874000 827895 0 1 1
1 21 20 27 27 826353 93.595 1.1007 909566 909000 878489 2 1 1
1 21 20 27.8 28 858653 93.78 1.1007 945119 945000 913076 2 1 1
1 21 20 28.1 29 891074 93.965 1.1007 980805 980000 940849 1 1 1
1 21 20 29.8 30 923616 94.15 1.1007 1016624 1010000 961120 0 1 1
1 21 21 30.6 31 956279 94.335 1.1057 1057357 1050000 996247 0 1 1
1 21 21 31.2 32 989062 94.52 1.1057 1093605 1090000 1031462 0 1 1
1 21 21 32.5 33 1021967 94.705 1.1057 1129988 1120000 1084229 2 1 1
1 21 21 33.3 34 1054993 94.89 1.1057 1166505 1160000 1113803 1 1 1
1 21 21 34.8 35 1088140 95.075 1.1057 1203156 1200000 1150358 1 1 1
1 21 21 35.9 36 1121408 95.26 1.1057 1239940 1230000 1190271 2 1 1
1 21 21 36.8 37 1154797 95.445 1.1057 1276859 1270000 1219286 1 1 1
1 21 21 37.6 38 1188307 95.63 1.1057 1313911 1310000 1239362 0 1 1
1 21 21 38.1 39 1221938 95.815 1.1057 1351096 1350000 1292879 1 1 1
1 21 21 39.5 40 1255690 96 1.1057 1388416 1380000 1334237 2 1 1
1 21 21 40.5 41 1289563 96.185 1.1057 1425869 1420000 1371698 2 1 1
1 21 21 41.6 42 1323557 96.37 1.1057 1463456 1460000 1409220 2 1 1
1 21 21 42.9 43 1357672 96.555 1.1057 1501177 1500000 1446797 2 1 1
1 21 21 43.5 44 1391908 96.74 1.1057 1539032 1530000 1469299 1 1 1
1 21 21 44.7 45 1426265 96.925 1.1057 1577021 1570000 1506549 1 1 1
1 21 21 45.3 46 1460743 97.11 1.1057 1615143 1610000 1554580 2 1 1
1 21 21 46.9 47 1495342 97.295 1.1057 1653399 1650000 1581255 1 1 1
1 21 21 47.9 48 1530062 97.481 1.1057 1691789 1690000 1630258 2 1 1
0 21 21 48.3 49 1564903 97.666 1.1057 1730313 1730000 1706822 1 0 1
1 21 21 49.3 50 1599865 97.851 1.1057 1768970 1760000 1667620 0 1 1
1 21 21 50.4 51 1634948 98.036 1.1057 1807762 1800000 1738914 2 1 1
1 21 21 51.5 52 1670152 98.221 1.1057 1846687 1840000 1741595 0 1 1
1 21 21 52.5 52 1705477 98.406 1.1057 1885745 1880000 1802642 1 1 1
1 21 21 53.1 54 1740923 98.591 1.1057 1924938 1920000 1853391 2 1 1
1 21 21 54.1 55 1776490 98.776 1.1057 1964264 1960000 1891666 2 1 1
1 21 21 55.3 56 1812178 98.961 1.1057 2003725 2000000 1930000 2 1 1
1 21 21 56.2 57 1847987 99.146 1.1057 2043319 2040000 1928120 0 1 1
1 21 21 57.9 58 1883917 99.331 1.1057 2083047 2080000 1992697 1 1 1
1 21 21 59 58 1919969 99.516 1.1057 2122909 2120000 2030918 1 1 1
1 21 21 59.5 60 1956141 99.701 1.1057 2162905 2160000 2083913 2 1 1
1 21 21 60.2 61 1992434 99.886 1.1057 2203034 2200000 2122537 2 1 1
1 21 21 61.8 62 2028848 100.071 1.1057 2243297 2240000 2116915 0 1 1
