product success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo
equ 1 20 20 40.7 40 1275825 95.869 1.102 1403790 1400000 1349893 2 1
ore 1 40 40 41.3 41 384147 28.444 1.208 463473 463000 423514 1 1
org 1 30 30 41.3 41 742695 54.994 1.154 855955 855000 809678 2 1
equ 1 20 20 41.3 41 1296146 95.975 1.102 1426149 1420000 1357836 1 1
ore 1 40 40 42.2 42 393700 28.531 1.208 474999 474000 433852 1 1
org 1 30 30 42.2 42 760669 55.124 1.154 876671 876000 829424 2 1
equ 1 20 20 42.2 42 1326551 96.133 1.102 1459604 1450000 1364995 0 1
ore 1 40 40 43.9 43 411907 28.694 1.208 496965 496000 438172 0 1
org 1 30 30 43.9 43 794870 55.372 1.154 916087 916000 831715 0 1
equ 1 20 20 43.9 43 1384307 96.433 1.102 1523152 1520000 1465143 2 1
ore 1 40 40 44.7 44 420516 28.77 1.208 507352 507000 463670 1 1
org 1 30 30 44.7 44 811019 55.488 1.154 934699 934000 848536 0 1
equ 1 20 20 44.7 44 1411534 96.574 1.102 1553110 1550000 1453280 0 1
ore 1 40 40 45.6 45 430295 28.857 1.208 519150 519000 483326 2 1
org 1 30 30 45.6 45 829346 55.619 1.154 955821 955000 891669 1 1
equ 1 20 20 45.6 45 1442397 96.733 1.102 1587069 1580000 1524774 2 1
ore 1 40 40 46.5 46 440091 28.943 1.208 530969 530000 493927 2 1
org 1 30 30 46.5 46 847687 55.75 1.154 976959 976000 911347 1 1
equ 1 20 20 46.5 46 1473248 96.892 1.102 1621014 1620000 1545530 1 1
ore 1 40 40 47.5 47 451047 29.039 1.208 544188 544000 497405 1 1
org 1 30 30 47.5 47 868177 55.896 1.154 1000573 1000000 933524 1 1
equ 1 20 20 47.5 47 1507672 97.068 1.102 1658891 1650000 1551606 0 1
ore 1 40 40 48.1 48 457644 29.097 1.208 552147 552000 486951 0 1
org 1 30 30 48.1 48 880504 55.983 1.154 1014780 1010000 920723 0 1
equ 1 20 20 48.1 48 1528360 97.174 1.102 1681654 1680000 1573764 0 1
ore 1 40 40 49.4 49 472026 29.222 1.208 569499 569000 530034 2 1
org 1 30 30 49.4 49 907352 56.172 1.154 1045723 1040000 973769 1 1
equ 1 20 20 49.4 49 1573362 97.403 1.102 1731170 1730000 1666419 2 1
ore 1 40 40 50.1 50 479819 29.289 1.208 578901 578000 538591 2 1
org 1 30 30 50.1 50 921885 56.274 1.154 1062472 1060000 964318 0 1
equ 1 20 20 50.1 50 1597692 97.527 1.102 1757940 1750000 1673603 1 1
ore 1 40 40 51.1 51 491001 29.385 1.208 592392 592000 551404 2 1
org 1 30 30 51.1 51 942717 56.419 1.154 1086481 1080000 1025146 2 1
equ 1 20 20 51.1 51 1632530 97.703 1.102 1796272 1790000 1726610 2 1
ore 1 40 40 52.3 52 504522 29.5 1.208 608705 608000 566439 2 1
org 1 30 30 52.3 52 967881 56.594 1.154 1115482 1110000 1038956 1 1
equ 1 20 20 52.3 52 1674554 97.915 1.102 1842511 1840000 1772975 2 1
ore 1 40 40 53.7 53 520360 29.634 1.208 627814 627000 584176 2 1
org 1 30 30 53.7 53 997315 56.797 1.154 1149405 1140000 1069175 1 1
